1 9fc01080 09 02000000
1 9fc01084 08 02000002
1 9fc00810 1f 9fc00818
1 9fc00ef0 10 00000003
1 9fc00ef8 12 00000009
1 9fc00efc 08 800d0000
1 9fc00f0c 09 00001234
1 9fc00f10 0a 00005678
1 9fc00f1c 09 0c4c00c0
1 9fc00f20 0a 00000000
1 9fc00f28 09 0c4c00c0
1 9fc00f2c 0a 00000000
1 9fc00f30 09 fffffff4
1 9fc00f34 0a 00000022
1 9fc00f44 09 fffffe5c
1 9fc00f48 0a 00000044
1 9fc00f4c 09 fffffff4
1 9fc00f50 0a 00000022
1 9fc00f60 09 fffffe5c
1 9fc00f64 0a 00000022
1 9fc00f68 09 fffffff4
1 9fc00f6c 0a 00000022
1 9fc00f7c 09 0000018c
1 9fc00f80 0a 00000001
1 9fc00f84 09 fffffff4
1 9fc00f88 0a 00000022
1 9fc00f98 09 0000018c
1 9fc00f9c 0a 00000023
1 9fc00fa0 13 00000003
1 9fc00fa4 09 03000000
1 9fc00fa8 08 03000003
1 9fc00818 1f 9fc00820
1 9fc00fc0 10 00000004
1 9fc00fc8 12 00000001
1 9fc00fcc 08 800d0000
1 9fc00fd4 08 80000000
1 9fc00fd8 08 8000d000
1 9fc00fdc 09 000004d2
1 9fc00fe4 0a 000004d2
1 9fc00fe8 0a 000004d6
1 9fc00fec 0a 00000001
1 9fc00ff0 0a 000004d6
1 9fc00ff4 0a 000004da
1 bfc00380 1a 00000023
1 bfc00384 1b 0000018c
1 bfc00388 1a 800d0000
1 bfc0038c 1b 00000001
1 bfc00390 1a 00000001
1 bfc003fc 12 00000000
1 bfc00400 1a 9fc00ff8
1 bfc006c0 1a 00000020
1 bfc006c4 1b 80000000
1 bfc006c8 1a 00000000
1 bfc006cc 1b 9fc00ff8
1 bfc006d4 1b 9fc00ffc
1 bfc006f0 12 ffff0000
1 9fc00ffc 0a 00000000
1 9fc01000 0b 000004d6
1 9fc01004 0c 000004d6
1 9fc01010 13 00000004
1 9fc01014 09 04000000
1 9fc01018 08 04000004
1 9fc00820 1f 9fc00828
1 9fc00970 10 00000005
1 9fc00978 12 00000001
1 9fc0097c 08 800d0000
1 9fc00984 09 000004d2
1 9fc00988 0b 00000000
1 9fc00990 09 000004d6
1 9fc00994 0b 00000001
1 9fc00998 0a 000004d6
1 9fc0099c 09 00000929
1 9fc009a0 0b 00000000
1 9fc009a4 0a 00000929
1 9fc009a8 09 00010000
1 9fc009ac 09 00012bdf
1 9fc009b0 0b 00000001
1 9fc009b8 13 00000005
1 9fc009bc 09 05000000
1 9fc009c0 08 05000005
1 9fc00828 1f 9fc00830
1 9fc00e10 04 0000005c
1 9fc00e14 10 00000006
1 9fc00e18 12 00000000
1 9fc00e1c 1a 00000010
1 9fc00e24 02 efe80000
1 9fc00e28 02 efe8dc03
1 9fc00e2c 09 00000000
1 9fc00e30 15 0000f124
1 9fc00e34 15 0000f124
1 9fc00e38 07 abcd0000
1 9fc00e3c 07 abcdef81
1 bfc00200 03 ffe80000
1 bfc00204 03 ffe8dc03
1 bfc00210 03 efe80000
